# מילה בעברית(|צורות נוספות)	באנגלית	הגייה באותיות עבריות (לקול)
# משפחה ואנשים
אמא	mother	מאדר
אבא	father	פאדר
הורים	parents	פֵּרֶנטְס
אח	brother	בראדר
אחות	sister	סיסטר
בן	son	סאן
בת	daughter	דוטר
סבא	grandfather	גרנדפאדר
סבתא	grandmother	גרנדמאדר
נכד	grandson	גרנדסאן
נכדה	granddaughter	גרנדדוטר
דוד	uncle	אנקל
דודה	aunt	אנט
בן דוד|בת דודה	cousin	קאזין
בעל	husband	הזבנד
אישה	woman	וומן
אשה|רעיה	wife	וייף
גבר|איש	man	מן
ילד	boy	בוי
ילדה	girl	גירל
ילדים	children	צ'ילדרן
תינוק	baby	בייבי
משפחה	family	פמילי
חבר	friend	פרנד
שכן	neighbor	נייבור
אנשים	people	פיפל
אדם	person	פרסון
מורה	teacher	טיצ'ר
תלמיד	student	סטודנט
רופא	doctor	דוקטור
אחות רחמנייה	nurse	נרס
שוטר	police officer	פוליס אופיסר
חייל	soldier	סולג'ר
נהג	driver	דרייבר
טבח	cook	קוק
מלצר	waiter	ווייטר
מוכר	seller	סלר
קונה	buyer	באייר
עובד	worker	וורקר
בוס|מנהל	manager	מנג'ר
מהנדס	engineer	אנג'ינייר
מתכנת	programmer	פרוגרמר
עורך דין	lawyer	לוייר
שופט	judge	ג'אדג'
כבאי	firefighter	פיירפייטר
טייס	pilot	פיילוט
חקלאי	farmer	פארמר
צייר	painter	פיינטר
זמר	singer	סינגר
שחקן	actor	אקטור
סופר	writer	רייטר
מדען	scientist	סיינטיסט
רב	rabbi	רבאיי
מלך	king	קינג
מלכה	queen	קווין
נסיך	prince	פרינס
נסיכה	princess	פרינסס
תייר	tourist	טוריסט
אורח	guest	גסט
# גוף
גוף	body	בודי
ראש	head	הד
פנים	face	פייס
עין	eye	איי
עיניים	eyes	אייז
אוזן	ear	איר
אף	nose	נוז
פה	mouth	מאות'
שפתיים	lips	ליפס
שן	tooth	טות'
שיניים	teeth	טית'
לשון	tongue	טאנג
שיער	hair	הייר
צוואר	neck	נק
כתף	shoulder	שולדר
יד	hand	הנד
זרוע	arm	ארם
אצבע	finger	פינגר
ציפורן	nail	נייל
מרפק	elbow	אלבו
חזה	chest	צ'סט
בטן	stomach	סטומך
גב	back	בק
רגל	leg	לג
כף רגל	foot	פוט
ברך	knee	ני
לב	heart	הארט
מוח	brain	בריין
דם	blood	בלאד
עור	skin	סקין
עצם	bone	בון
זקן	beard	בירד
מצח	forehead	פורהד
לחי	cheek	צ'יק
סנטר	chin	צ'ין
# אוכל ושתייה
אוכל	food	פוד
לחם	bread	ברד
מים	water	ווטר
חלב	milk	מילק
גבינה	cheese	צ'יז
חמאה	butter	באטר
ביצה	egg	אג
בשר	meat	מיט
עוף	chicken	צ'יקן
דג	fish	פיש
אורז	rice	רייס
פסטה	pasta	פסטה
מרק	soup	סופ
סלט	salad	סלט
תפוח	apple	אפל
בננה	banana	בננה
תפוז	orange	אורנג'
ענבים	grapes	גרייפס
תות	strawberry	סטרובֶרי
אבטיח	watermelon	ווטרמלון
לימון	lemon	למון
אגס	pear	פֵּר
אפרסק	peach	פיץ'
דובדבן	cherry	צ'רי
אננס	pineapple	פיינאפל
מנגו	mango	מנגו
עגבנייה|עגבניה	tomato	טומייטו
מלפפון	cucumber	קיוקמבר
גזר	carrot	קרוט
תפוח אדמה	potato	פוטייטו
בצל	onion	אניון
שום	garlic	גארליק
פלפל	pepper	פפר
חסה	lettuce	לטוס
כרוב	cabbage	קאבג'
תירס	corn	קורן
פטרייה|פטריות	mushroom	מאשרום
אפונה	peas	פיז
שעועית	beans	בינז
אגוז	nut	נאט
סוכר	sugar	שוגר
מלח	salt	סולט
שמן	oil	אויל
דבש	honey	האני
ריבה	jam	ג'ם
עוגה	cake	קייק
עוגייה|עוגיה	cookie	קוקי
שוקולד	chocolate	צ'וקלט
גלידה	ice cream	אייס קרים
סוכרייה|סוכריה	candy	קנדי
קפה	coffee	קופי
תה	tea	טי
מיץ	juice	ג'וס
יין	wine	וויין
בירה	beer	ביר
ארוחת בוקר	breakfast	ברקפסט
ארוחת צהריים	lunch	לאנץ'
ארוחת ערב	dinner	דינר
ארוחה	meal	מיל
צלחת	plate	פלייט
כוס	cup	קאפ
ספל	mug	מאג
מזלג	fork	פורק
סכין	knife	נייף
כף	spoon	ספון
סיר	pot	פוט
מחבת	pan	פאן
בקבוק	bottle	בוטל
# בית
בית	house	האוס
דירה	apartment	אפרטמנט
חדר	room	רום
מטבח	kitchen	קיצ'ן
חדר שינה	bedroom	בדרום
סלון	living room	ליווינג רום
שירותים	toilet	טוילט
אמבטיה	bathroom	באת'רום
מקלחת	shower	שאוור
דלת	door	דור
חלון	window	ווינדו
קיר	wall	וול
רצפה	floor	פלור
תקרה	ceiling	סילינג
גג	roof	רוף
מדרגות	stairs	סטרז
מעלית	elevator	אלבייטור
גינה	garden	גארדן
שולחן	table	טייבל
כיסא	chair	צ'ייר
מיטה	bed	בד
ספה	sofa	סופה
ארון	closet	קלוזט
מדף	shelf	שלף
מראה	mirror	מירור
מנורה	lamp	למפ
שטיח	carpet	קרפט
וילון	curtain	קרטן
כרית	pillow	פילו
שמיכה	blanket	בלנקט
מקרר	refrigerator	רפריג'רייטור
תנור	oven	אובן
מכונת כביסה	washing machine	וושינג משין
מפתח	key	קי
מנעול	lock	לוק
טלוויזיה	television	טלוויז'ן
מחשב	computer	קומפיוטר
טלפון	phone	פון
מטען	charger	צ'ארג'ר
סוללה	battery	בטרי
שעון	clock	קלוק
שעון יד	watch	ווץ'
מצלמה	camera	קמרה
רדיו	radio	רדיו
מאוורר	fan	פאן
מזגן	air conditioner	אייר קונדישנר
# בגדים
בגדים	clothes	קלות'ז
חולצה	shirt	שירט
מכנסיים	pants	פנטס
מכנסיים קצרים	shorts	שורטס
חצאית	skirt	סקירט
שמלה	dress	דרס
מעיל	coat	קוט
ז'קט	jacket	ג'קט
סוודר	sweater	סווטר
נעליים	shoes	שוז
נעל	shoe	שו
גרביים	socks	סוקס
כובע	hat	הט
כפפות	gloves	גלאבז
צעיף	scarf	סקארף
חגורה	belt	בלט
עניבה	tie	טאיי
משקפיים	glasses	גלאסז
תיק	bag	בג
ארנק	wallet	וולט
מטרייה|מטריה	umbrella	אמברלה
טבעת	ring	רינג
שרשרת	necklace	נקלס
פיג'מה	pajamas	פג'אמס
כיס	pocket	פוקט
כפתור	button	באטן
# טבע
טבע	nature	נייצ'ר
שמש	sun	סאן
ירח	moon	מון
כוכב	star	סטאר
שמיים	sky	סקאיי
ענן	cloud	קלאוד
גשם	rain	ריין
שלג	snow	סנו
רוח	wind	ווינד
סערה	storm	סטורם
ברק	lightning	לייטנינג
רעם	thunder	ת'אנדר
קשת	rainbow	ריינבו
אוויר	air	אייר
אש	fire	פאייר
אדמה	ground	גראונד
עפר	soil	סויל
אבן	stone	סטון
סלע	rock	רוק
חול	sand	סנד
הר	mountain	מאונטן
גבעה	hill	היל
עמק	valley	וואלי
מדבר	desert	דזרט
יער	forest	פורסט
עץ	tree	טרי
פרח	flower	פלאוור
עלה	leaf	ליף
עשב|דשא	grass	גראס
שורש	root	רוט
ענף	branch	בראנץ'
זרע	seed	סיד
ים	sea	סי
אוקיינוס	ocean	אושן
נהר	river	ריבר
אגם	lake	לייק
חוף	beach	ביץ'
גל	wave	וייב
אי	island	איילנד
מערה	cave	קייב
הר געש	volcano	וולקיינו
קרח	ice	אייס
עולם	world	וורלד
ארץ	land	לנד
כדור הארץ	earth	ארת'
# חיות
חיה	animal	אנימל
כלב	dog	דוג
חתול	cat	קט
סוס	horse	הורס
פרה	cow	קאו
כבשה	sheep	שיפ
עז	goat	גוט
חזיר	pig	פיג
תרנגולת	hen	הן
תרנגול	rooster	רוסטר
ברווז	duck	דאק
ציפור	bird	בירד
יונה	dove	דאב
אריה	lion	לאיון
נמר	tiger	טייגר
פיל	elephant	אלפנט
קוף	monkey	מאנקי
דוב	bear	בר
זאב	wolf	וולף
שועל	fox	פוקס
ארנב	rabbit	רביט
עכבר	mouse	מאוס
נחש	snake	סנייק
צפרדע	frog	פרוג
צב	turtle	טרטל
תנין	crocodile	קרוקודייל
ג'ירפה	giraffe	ג'ירף
זברה	zebra	זברה
גמל	camel	קמל
דולפין	dolphin	דולפין
לווייתן	whale	וייל
כריש	shark	שארק
דבורה	bee	בי
נמלה	ant	אנט
פרפר	butterfly	באטרפליי
זבוב	fly	פלאיי
יתוש	mosquito	מוסקיטו
עכביש	spider	ספיידר
חרק	insect	אינסקט
תולעת	worm	וורם
ינשוף	owl	אאול
נשר	eagle	איגל
פינגווין	penguin	פנגווין
תוכי	parrot	פארוט
צבי	deer	דיר
קנגורו	kangaroo	קנגרו
סנאי	squirrel	סקווירל
חמור	donkey	דונקי
# צבעים
צבע	color	קאלר
אדום	red	רד
כחול	blue	בלו
צהוב	yellow	יֶלו
ירוק	green	גרין
כתום	orange	אורנג'
סגול	purple	פרפל
ורוד	pink	פינק
חום	brown	בראון
שחור	black	בלאק
לבן	white	וואייט
אפור	gray	גריי
זהב	gold	גולד
כסף	silver	סילבר
תכלת	light blue	לייט בלו
# זמן
זמן	time	טאיים
שנייה	second	סקנד
דקה	minute	מינט
שעה	hour	אאור
יום	day	דיי
לילה	night	נאייט
בוקר	morning	מורנינג
צהריים	noon	נון
אחר הצהריים	afternoon	אפטרנון
ערב	evening	איבנינג
שבוע	week	וויק
חודש	month	מאנת'
שנה	year	ייר
מאה	hundred	האנדרד
היום	today	טודיי
מחר	tomorrow	טומורו
אתמול	yesterday	יסטרדיי
עכשיו	now	נאו
אחר כך	later	לייטר
תמיד	always	אולווייז
לפעמים	sometimes	סאמטיימז
אף פעם	never	נבר
לעתים קרובות	often	אופן
מוקדם	early	ארלי
מאוחר	late	לייט
יום ראשון	sunday	סאנדיי
יום שני	monday	מאנדיי
יום שלישי	tuesday	טיוזדיי
יום רביעי	wednesday	וונזדיי
יום חמישי	thursday	ת'רזדיי
יום שישי	friday	פריידיי
שבת	saturday	סטרדיי
סוף שבוע	weekend	וויקנד
ינואר	january	ג'נוארי
פברואר	february	פברוארי
מרץ	march	מארץ'
אפריל	april	אפריל
מאי	may	מיי
יוני	june	ג'ון
יולי	july	ג'ולאיי
אוגוסט	august	אוגוסט
ספטמבר	september	ספטמבר
אוקטובר	october	אוקטובר
נובמבר	november	נובמבר
דצמבר	december	דיסמבר
אביב	spring	ספרינג
קיץ	summer	סאמר
סתיו	autumn	אוטם
חורף	winter	ווינטר
יום הולדת	birthday	בירת'דיי
חג	holiday	הולידיי
# מספרים
אפס	zero	זירו
אחד|אחת	one	וואן
שתיים|שניים	two	טו
שלוש|שלושה	three	ת'רי
ארבע|ארבעה	four	פור
חמש|חמישה	five	פייב
שש|שישה	six	סיקס
שבע|שבעה	seven	סבן
שמונה	eight	אייט
תשע|תשעה	nine	נאיין
עשר|עשרה	ten	טן
אחת עשרה|אחד עשר	eleven	אילבן
שתים עשרה|שנים עשר	twelve	טוועלב
עשרים	twenty	טוונטי
שלושים	thirty	ת'רטי
ארבעים	forty	פורטי
חמישים	fifty	פיפטי
שישים	sixty	סיקסטי
שבעים	seventy	סבנטי
שמונים	eighty	אייטי
תשעים	ninety	נאיינטי
אלף	thousand	ת'אוזנד
מיליון	million	מיליון
ראשון	first	פירסט
שני	second	סקנד
שלישי	third	ת'ירד
חצי	half	האף
רבע	quarter	קוורטר
# עיר ומקומות
עיר	city	סיטי
כפר	village	וילג'
מדינה	country	קאנטרי
רחוב	street	סטריט
כביש	road	רוד
שכונה	neighborhood	נייבורהוד
כתובת	address	אדרס
בית ספר	school	סקול
גן ילדים	kindergarten	קינדרגרטן
אוניברסיטה	university	יוניברסיטי
בית חולים	hospital	הוספיטל
מרפאה	clinic	קליניק
בית מרקחת	pharmacy	פרמסי
חנות	store	סטור
סופרמרקט	supermarket	סופרמרקט
שוק	market	מרקט
קניון	mall	מול
מסעדה	restaurant	רסטורנט
בית קפה	cafe	קפה
מאפייה	bakery	בייקרי
בנק	bank	בנק
דואר	post office	פוסט אופיס
משרד	office	אופיס
בית כנסת	synagogue	סינגוג
ספרייה	library	לייברי
מוזיאון	museum	מיוזיאם
פארק	park	פארק
גן חיות	zoo	זו
בריכה	pool	פול
תחנה	station	סטיישן
תחנת רכבת	train station	טריין סטיישן
שדה תעופה	airport	אירפורט
נמל	port	פורט
גשר	bridge	בריג'
מגדל	tower	טאוור
מלון	hotel	הוטל
בית משפט	court	קורט
תחנת משטרה	police station	פוליס סטיישן
חנייה	parking	פארקינג
כיכר	square	סקוור
רמזור	traffic light	טרפיק לייט
מדרכה	sidewalk	סיידווק
בניין	building	בילדינג
מפעל	factory	פקטורי
חווה	farm	פארם
# תחבורה
מכונית|אוטו	car	קאר
אוטובוס	bus	באס
רכבת	train	טריין
מטוס	airplane	אירפליין
אונייה|ספינה	ship	שיפ
סירה	boat	בוט
אופניים	bicycle	בייסיקל
אופנוע	motorcycle	מוטורסייקל
משאית	truck	טראק
מונית	taxi	טקסי
אמבולנס	ambulance	אמבולנס
מסוק	helicopter	הליקופטר
רכבת תחתית	subway	סאבווי
גלגל	wheel	וויל
דלק	fuel	פיוּאל
כרטיס	ticket	טיקט
נסיעה	trip	טריפ
טיסה	flight	פלייט
מזוודה	suitcase	סוטקייס
דרכון	passport	פספורט
מפה	map	מאפ
# לימודים ועבודה
ספר	book	בוק
מחברת	notebook	נוטבוק
עט	pen	פן
עיפרון	pencil	פנסיל
מחק	eraser	אירייסר
סרגל	ruler	רולר
