# ניסוחים מופרדים ב-|	תשובה
# ישראל
מה ההר הגבוה בישראל|ההר הכי גבוה בישראל	ההר הגבוה בשטח שבשליטת ישראל הוא החרמון, והגבוה בתוך הקו הירוק הוא הר מירון
מה הנהר הארוך בישראל|הנהר הכי ארוך בישראל	הנהר הארוך בישראל הוא הירדן
מה המקום הנמוך בעולם|המקום הכי נמוך בעולם	ים המלח, בערך ארבע מאות ושלושים מטר מתחת לפני הים
מתי קמה מדינת ישראל|מתי הוקמה מדינת ישראל|באיזו שנה קמה המדינה	מדינת ישראל הוכרזה בה' באייר תש"ח, 14 במאי 1948
מי הכריז על הקמת המדינה|מי הכריז על המדינה	דוד בן גוריון הכריז על הקמת המדינה
מי היה ראש הממשלה הראשון|ראש הממשלה הראשון של ישראל	דוד בן גוריון
מי היה הנשיא הראשון|הנשיא הראשון של ישראל	חיים ויצמן
מה ההמנון של ישראל|איך קוראים להמנון	ההמנון הלאומי הוא התקווה, מילים של נפתלי הרץ אימבר
מה הסמל של המדינה|מה סמל המדינה	סמל המדינה הוא המנורה עם שני ענפי זית
מה הציפור הלאומית|הציפור של ישראל	הדוכיפת היא הציפור הלאומית של ישראל
מה הפרח הלאומי|הפרח של ישראל	הכלנית היא הפרח הלאומי של ישראל
מה העץ הלאומי|העץ של ישראל	הזית נבחר כעץ הלאומי של ישראל
מה המטבע של ישראל|מה המטבע בישראל	השקל החדש
מה השפה הרשמית בישראל|איזה שפה מדברים בישראל	עברית היא השפה הרשמית של ישראל
מה העיר הגדולה בישראל|העיר הכי גדולה בישראל	ירושלים היא העיר הגדולה בישראל
כמה תושבים יש בישראל|כמה אנשים גרים בישראל|מה האוכלוסייה של ישראל	בישראל יש כעשרה מיליון תושבים
כמה חברי כנסת יש|כמה חברים בכנסת	בכנסת יש מאה ועשרים חברים
מה הים בצפון ישראל|איזה ימים יש בישראל	לישראל יש את הים התיכון, ים המלח, ים סוף וים כנרת
מה האגם המתוק בישראל|מה זה הכנרת	הכנרת היא אגם המים המתוקים הגדול בישראל
מה הנמל הדרומי|איזו עיר נמצאת על ים סוף	אילת היא העיר של ישראל על ים סוף
מי כתב את התקווה	נפתלי הרץ אימבר
מתי יום העצמאות	יום העצמאות חל בה' באייר, לפעמים מוקדם או נדחה כדי לא לחלל שבת
מה השם הקודם של תל אביב	בהתחלה נקראה השכונה אחוזת בית
מי ייסד את תל אביב|מתי נוסדה תל אביב	תל אביב נוסדה ב-1909
מה הכותל המערבי|מה זה הכותל	הכותל המערבי הוא שריד של חומת הר הבית מימי בית המקדש השני
מה זה מצדה	מצדה היא מבצר של הורדוס ליד ים המלח, שם התבצרו המורדים בסוף המרד הגדול
מה המדבר בדרום ישראל|איך קוראים למדבר בדרום	מדבר הנגב
# יהדות
כמה ספרים יש בתורה|כמה חומשים יש	בתורה יש חמישה חומשים: בראשית, שמות, ויקרא, במדבר ודברים
כמה ספרים יש בתנך	בתנך יש עשרים וארבעה ספרים לפי המניין המסורתי
כמה מצוות יש בתורה|כמה מצוות יש	בתורה יש תרי"ג מצוות, שש מאות ושלוש עשרה
כמה מצוות עשה יש	מאתיים ארבעים ושמונה מצוות עשה
כמה מצוות לא תעשה יש	שלוש מאות שישים וחמש מצוות לא תעשה
כמה דברות יש|כמה דיברות יש	עשרת הדיברות
מה הדיבר הראשון	אנכי ה' אלוהיך אשר הוצאתיך מארץ מצרים מבית עבדים
מי היו האבות|מי הם האבות	אברהם, יצחק ויעקב
מי היו האמהות|מי הן האמהות	שרה, רבקה, רחל ולאה
כמה שבטים יש|כמה שבטי ישראל	שנים עשר שבטים
מי היו השבטים|מה שמות השבטים|מה שמות בני יעקב	ראובן, שמעון, לוי, יהודה, יששכר, זבולון, דן, נפתלי, גד, אשר, יוסף ובנימין
מי היה המלך הראשון של ישראל	שאול בן קיש
מי בנה את בית המקדש הראשון	שלמה המלך
מתי חרב בית המקדש|מתי חרבו בתי המקדש	שני בתי המקדש חרבו בתשעה באב
מי כתב את המשנה|מי חתם את המשנה|מי סידר את המשנה	רבי יהודה הנשיא
כמה סדרים יש במשנה|מה סדרי המשנה	שישה סדרים: זרעים, מועד, נשים, נזיקין, קדשים וטהרות
כמה מסכתות יש במשנה	שישים ושלוש מסכתות
מי כתב את השולחן ערוך	רבי יוסף קארו
מי כתב את משנה תורה	הרמב"ם, רבי משה בן מימון
מי היה רש"י	רבי שלמה יצחקי, פרשן התורה והתלמוד הגדול, חי בצרפת במאה האחת עשרה
מה זה תלמוד	התלמוד הוא המשנה יחד עם הגמרא, יש תלמוד בבלי ותלמוד ירושלמי
כמה דפים בש"ס|כמה דפים בתלמוד הבבלי	בתלמוד הבבלי יש בערך אלפיים שבע מאות ואחד עשר דפים
מה זה דף יומי	לימוד דף גמרא אחד בכל יום, סיום הש"ס לוקח בערך שבע שנים וחצי
כמה נרות מדליקים בחנוכה	בכל לילה מוסיפים נר, עד שמונה נרות בלילה האחרון, ועוד השמש
כמה ימים חנוכה	שמונה ימים
כמה ימים פסח	בארץ ישראל שבעה ימים, ובחוץ לארץ שמונה
כמה ימים סוכות	סוכות שבעה ימים, ואחריו שמיני עצרת
מה אוכלים בחנוכה	נוהגים לאכול מאכלים מטוגנים בשמן כמו סופגניות ולביבות
מה אוכלים בשבועות	נוהגים לאכול מאכלי חלב
מה אוכלים בפסח	מצה, ובליל הסדר גם מרור, כרפס וחרוסת
מה ארבעת המינים	אתרוג, לולב, הדס וערבה
מה ארבע הקושיות|מה נשתנה	מה נשתנה הלילה הזה מכל הלילות, ארבע שאלות שהילדים שואלים בליל הסדר
