# מילה	ההפך שלה (עובד בשני הכיוונים)
גדול	קטן
גבוה	נמוך
ארוך	קצר
רחב	צר
עבה	דק
כבד	קל
חזק	חלש
מהיר	איטי
חם	קר
יבש	רטוב
רך	קשה
חלק	מחוספס
נקי	מלוכלך
חדש	ישן
צעיר	זקן
עשיר	עני
שמח	עצוב
טוב	רע
יפה	מכוער
חכם	טיפש
אמיץ	פחדן
נדיב	קמצן
עליז	עגום
שקט	רועש
בהיר	כהה
מלא	ריק
פתוח	סגור
רחוק	קרוב
עמוק	רדוד
מתוק	מר
שמן	רזה
ישר	עקום
נכון	לא נכון
אמת	שקר
קדימה	אחורה
למעלה	למטה
ימין	שמאל
בפנים	בחוץ
מעל	מתחת
לפני	אחרי
מוקדם	מאוחר
תמיד	אף פעם
הרבה	מעט
יותר	פחות
הכל	כלום
כן	לא
יום	לילה
בוקר	ערב
אור	חושך
שמש	ירח
קיץ	חורף
אביב	סתיו
שמיים	אדמה
ים	יבשה
אש	מים
חיים	מוות
שלום	מלחמה
אהבה	שנאה
שמחה	עצב
צחוק	בכי
הצלחה	כישלון
ניצחון	הפסד
תחילה	סוף
התחלה	סיום
כניסה	יציאה
עלייה	ירידה
קנייה	מכירה
שאלה	תשובה
חבר	אויב
איש	אישה
גבר	אישה
ילד	ילדה
בן	בת
אבא	אמא
סבא	סבתא
אח	אחות
מלך	מלכה
חתן	כלה
מורה	תלמיד
קונה	מוכר
צפון	דרום
מזרח	מערב
ראשון	אחרון
עבר	עתיד
אתמול	מחר
ישן	ער
בריא	חולה
רעב	שבע
צמא	רווה
עייף	רענן
נקבה	זכר
חי	מת
זול	יקר
קשה	קל
פשוט	מסובך
מסוכן	בטוח
שלם	שבור
רגוע	לחוץ
סבלני	חסר סבלנות
מנומס	גס
זהיר	פזיז
עצלן	חרוץ
מאושר	אומלל
מוכר	זר
פרטי	ציבורי
חוקי	אסור
מותר	אסור
טהור	טמא
קדוש	חול
צדיק	רשע
חיובי	שלילי
פעיל	סביל
אופטימי	פסימי
גלוי	נסתר
ידוע	לא ידוע
חשוב	שולי
רגיל	מיוחד
נפוץ	נדיר
אמיתי	מזויף
מקורי	חיקוי
טבעי	מלאכותי
גולמי	מבושל
טרי	מקולקל
חריף	עדין
מלוח	מתוק
צלול	עכור
שקוף	אטום
לבן	שחור
חיצוני	פנימי
עליון	תחתון
קדמי	אחורי
אופקי	אנכי
ישיר	עקיף
קבוע	זמני
נצחי	חולף
עתיק	מודרני
ותיק	חדש
מבוגר	צעיר
להגדיל	להקטין
להוסיף	להחסיר
לפתוח	לסגור
להדליק	לכבות
לעלות	לרדת
לבוא	ללכת
להיכנס	לצאת
לתת	לקחת
לקנות	למכור
לשאול	לענות
לזכור	לשכוח
לאהוב	לשנוא
לצחוק	לבכות
להתחיל	לסיים
לנצח	להפסיד
להצליח	להיכשל
למצוא	לאבד
לבנות	להרוס
לקום	לשכב
לעמוד	לשבת
להתעורר	להירדם
לדחוף	למשוך
לזרוק	לתפוס
ללמד	ללמוד
לחייך	לזעוף
להסכים	לסרב
לאשר	לדחות
לקבל	לדחות
לחבר	לנתק
לקשור	להתיר
להרים	להוריד
להגן	לתקוף
לחיות	למות
לזכות	להפסיד
להקדים	לאחר
לאסוף	לפזר
למלא	לרוקן
להאיר	להחשיך
לחמם	לקרר
להרטיב	לייבש
לנקות	ללכלך
לרוץ	לעצור
לשיר	לשתוק
לדבר	לשתוק
לדעת	לא לדעת
מתחיל	מסיים
נכנס	יוצא
עולה	יורד
פתיחה	סגירה
הדלקה	כיבוי
תוספת	חיסור
חיבור	חיסור
כפל	חילוק
רווח	הפסד
הכנסה	הוצאה
חוב	זכות
יבוא	יצוא
שפע	מחסור
עושר	עוני
בריאות	מחלה
חום	קור
יובש	רטיבות
רעש	שקט
תנועה	מנוחה
מלחמה	שלום
כעס	רוגע
פחד	ביטחון
אומץ	פחד
גאווה	ענווה
תקווה	ייאוש
אמונה	כפירה
ידע	בורות
חוכמה	טיפשות
סדר	בלגן
אמון	חשד
נאמנות	בגידה
חופש	עבדות
קשר	ניתוק
עזרה	הפרעה
יתרון	חיסרון
זכות	חובה
פרס	עונש
שכר	עונש
יחיד	רבים
זוגי	אי זוגי
חיובי	שלילי
פלוס	מינוס
מקסימום	מינימום
גבוהה	נמוכה
גדולה	קטנה
שמאלה	ימינה
מעלה	מטה
פנימה	החוצה
כאן	שם
עכשיו	אחר כך
תמיד	לעולם לא
מישהו	אף אחד
משהו	שום דבר
בכל מקום	בשום מקום
ביחד	לחוד
יחד	לבד
